date,type_id,label,group,index,coverage,skus,baseline_skus,baseline_date
2026-08-18,kiwi,Kivi,fruit,,1.0,1,1,2026-08-16
2026-08-18,avocado,Avokado,fruit,,1.0,2,2,2026-08-16
2026-08-18,tomato,Domates,vegetables,99.4167,1.0,18,18,2026-08-16
2026-08-18,cherry_tomato,Cherry domates,vegetables,,0.0,0,0,2026-08-16
2026-08-18,cucumber,Salatalık,vegetables,100.0,1.0,16,16,2026-08-16
2026-08-18,pepper,Biber,vegetables,97.9863,1.0,20,20,2026-08-16
2026-08-18,potato,Patates,vegetables,,1.0,3,3,2026-08-16
2026-08-18,onion,Kuru soğan,vegetables,,1.0,1,1,2026-08-16
2026-08-18,garlic,Sarımsak,vegetables,100.0,1.0,10,10,2026-08-16
2026-08-18,eggplant,Patlıcan,vegetables,100.0,1.0,16,16,2026-08-16
2026-08-18,zucchini,Kabak,vegetables,103.1287,0.9375,15,16,2026-08-16
2026-08-18,carrot,Havuç,vegetables,97.1012,1.0,12,12,2026-08-16
2026-08-18,lettuce,Marul,vegetables,,1.0,1,1,2026-08-16
2026-08-18,spinach,Ispanak,vegetables,100.0,1.0,4,4,2026-08-16
2026-08-18,parsley,Maydanoz,vegetables,,1.0,1,1,2026-08-16
2026-08-18,broccoli,Brokoli,vegetables,,1.0,2,2,2026-08-16
2026-08-18,cauliflower,Karnabahar,vegetables,,0.0,0,0,2026-08-16
2026-08-18,mushroom,Kültür mantarı,vegetables,101.0513,1.0,16,16,2026-08-16
2026-08-18,green_beans,Taze fasulye,vegetables,100.0,1.0,4,4,2026-08-16
2026-08-18,sugar,Toz şeker,sugar_snacks,100.0,1.0,24,24,2026-08-16
2026-08-18,honey,Bal,sugar_snacks,104.6716,0.95,19,20,2026-08-16
2026-08-18,jam,Reçel,sugar_snacks,100.0,1.0,16,16,2026-08-16
2026-08-18,chocolate,Çikolata,sugar_snacks,100.0015,1.0,25,25,2026-08-16
2026-08-18,biscuits,Bisküvi,sugar_snacks,100.0,1.0,25,25,2026-08-16
2026-08-18,wafer,Gofret,sugar_snacks,100.2112,0.96,24,25,2026-08-16
2026-08-18,chips,Patates cipsi,sugar_snacks,100.0,1.0,25,25,2026-08-16
2026-08-18,nuts,Kuruyemiş,sugar_snacks,100.0,0.9444,17,18,2026-08-16
2026-08-18,icecream,Dondurma,sugar_snacks,,1.0,1,1,2026-08-16
2026-08-18,halva,Helva,sugar_snacks,100.0,1.0,22,22,2026-08-16
2026-08-18,spread,Kakaolu fındık kreması,sugar_snacks,100.0,0.9167,22,24,2026-08-16
2026-08-18,candy,Şekerleme,sugar_snacks,100.0,1.0,20,20,2026-08-16
2026-08-18,tomato_paste,Salça,other_food,100.0,0.8667,13,15,2026-08-16
2026-08-18,lentils,Mercimek,other_food,100.0,0.84,21,25,2026-08-16
2026-08-18,beans,Kuru fasulye,other_food,99.9574,0.9583,23,24,2026-08-16
2026-08-18,chickpeas,Nohut,other_food,100.0,1.0,24,24,2026-08-16
2026-08-18,canned_veg,Konserve sebze,other_food,100.0,1.0,5,5,2026-08-16
2026-08-18,soup,Hazır çorba,other_food,100.0,0.9474,18,19,2026-08-16
2026-08-18,ketchup,Ketçap,other_food,100.0,1.0,24,24,2026-08-16
2026-08-18,mayonnaise,Mayonez,other_food,100.0,1.0,24,24,2026-08-16
2026-08-18,salt,Tuz,other_food,100.0,0.9545,21,22,2026-08-16
2026-08-18,vinegar,Sirke,other_food,100.0,1.0,22,22,2026-08-16
2026-08-18,black_tea,Siyah çay,drinks,100.0,0.96,24,25,2026-08-16
2026-08-18,turkish_coffee,Türk kahvesi,drinks,100.088,1.0,25,25,2026-08-16
2026-08-18,instant_coffee,Çözünebilir kahve,drinks,100.0,1.0,9,9,2026-08-16
2026-08-18,filter_coffee,Filtre kahve,drinks,100.0,0.9565,22,23,2026-08-16
2026-08-18,cola,Kola,drinks,100.0,1.0,25,25,2026-08-16
2026-08-18,fruit_juice,Meyve suyu,drinks,100.0,1.0,14,14,2026-08-16
2026-08-18,iced_tea,Soğuk çay,drinks,99.7544,0.7917,19,24,2026-08-16
2026-08-18,mineral_water,Maden suyu,drinks,98.3486,0.9583,23,24,2026-08-16
2026-08-18,water,İçme suyu,drinks,,0.0,0,0,2026-08-16
2026-08-18,energy_drink,Enerji içeceği,drinks,98.7797,0.9545,21,22,2026-08-16
2026-08-18,soda,Gazoz,drinks,98.7875,1.0,22,22,2026-08-16
2026-08-18,dish_liquid,Elde bulaşık deterjanı,household_cleaning,98.0788,1.0,20,20,2026-08-16
2026-08-18,dishwasher_tabs,Bulaşık makinesi tableti,household_cleaning,100.0,1.0,23,23,2026-08-16
2026-08-18,laundry_powder,Toz çamaşır deterjanı,household_cleaning,,1.0,2,2,2026-08-16
2026-08-18,laundry_liquid,Sıvı çamaşır deterjanı,household_cleaning,100.0,0.96,24,25,2026-08-16
2026-08-18,softener,Yumuşatıcı,household_cleaning,96.3887,1.0,10,10,2026-08-16
2026-08-18,bleach,Çamaşır suyu,household_cleaning,95.8766,0.8571,18,21,2026-08-16
2026-08-18,surface_cleaner,Yüzey temizleyici,household_cleaning,100.0,1.0,23,23,2026-08-16
2026-08-18,garbage_bags,Çöp torbası,household_cleaning,100.8867,0.9583,23,24,2026-08-16
2026-08-18,sponge,Bulaşık süngeri,household_cleaning,100.0,1.0,20,20,2026-08-16
2026-08-18,cleaning_cloth,Temizlik bezi,household_cleaning,100.0,0.9,18,20,2026-08-16
2026-08-18,shampoo,Şampuan,personal_paper,105.379,0.9583,23,24,2026-08-16
2026-08-18,shower_gel,Duş jeli,personal_paper,119.6379,1.0,25,25,2026-08-16
2026-08-18,soap_liquid,Sıvı sabun,personal_paper,104.209,0.96,24,25,2026-08-16
2026-08-18,soap_bar,Kalıp sabun,personal_paper,95.7048,1.0,22,22,2026-08-16
2026-08-18,toothpaste,Diş macunu,personal_paper,100.0,1.0,23,23,2026-08-16
2026-08-18,toothbrush,Diş fırçası,personal_paper,100.0,1.0,24,24,2026-08-16
2026-08-18,deodorant,Deodorant,personal_paper,100.0,1.0,25,25,2026-08-16
2026-08-18,toilet_paper,Tuvalet kağıdı,personal_paper,100.0,0.92,23,25,2026-08-16
2026-08-18,paper_towel,Kağıt havlu,personal_paper,102.2317,0.9545,21,22,2026-08-16
2026-08-18,wet_wipes,Islak mendil,personal_paper,100.0,0.7917,19,24,2026-08-16
2026-08-18,tissues,Kağıt mendil,personal_paper,100.0,1.0,14,14,2026-08-16
